Asesor,Nombre del tesista,Año,Resumen,Institución,Grado
"Bruzza Moncayo, Mariuxi Alexandra","Llaque Agramonte, Josue Manuel",2022-12-06,Implementación de un sistema integral de gestión de la configuración basado en ITIL V4 orientado a PYMES,Pontificia Universidad Católica del Perú,Ingeniero Informático
"Tupia Anticona, Manuel Francisco","Canasa Mayta, Paul Rodrigo",2022-10-13,Implementación de un sistema de información para la gestión de unidades de manipulación en almacenes de grandes dimensiones,Pontificia Universidad Católica del Perú,Ingeniero Informático
"Flores García, Luis Alberto","Cabello Roca, Percy Ernesto",2022-10-13,"Implementación de sistemas de gestión de seguridad de la información (SGSI), de servicios de TI (ITSM) y firma electrónica",Pontificia Universidad Católica del Perú,Ingeniero Informático
"Huamán Monzón, Fernando Miguel","Recalde Manrique, Diego Andre Walter",2022-10-13,Implementación de un sistema de gestión de activos de TI bajo la óptica del marco ITIL 4,Pontificia Universidad Católica del Perú,Ingeniero Informático
"Murillo Veliz, Braulio Oscar","Alpiste Sarmiento, Daniel Mijail",2022-09-05,Automatización del proceso de gestión de órdenes de compra con clientes B2B en una empresa de pinturas usando RPA,Pontificia Universidad Católica del Perú,Ingeniero Informático
"Baldeón Medrano, Johan Paul","Salazar Suasnabar, Hubert Eliot",2022-09-05,Desarrollo de un videojuego educativo configurable con mecánicas de aprendizaje y de juego que permitan reforzar el aprendizaje de ciencia y tecnología en estudiantes de primero de secundaria,Pontificia Universidad Católica del Perú,Ingeniero Informático
"Lena Valega, Ángel Gabriel","Arrué Pajares, Sebastián Daniel",2022-08-17,Implementación de un Sistema de Información Hospitalario (HIS) interoperable basado en HL7 para un Centro Médico de categoría II-1 o superior,Pontificia Universidad Católica del Perú,Ingeniero Informático
"Tupia Anticona, Manuel Francisco","Castillo Lopez, Anderson Jesús",2022-08-11,Diseño de un modelo para identificar amenazas no intencionales de ciberseguridad en instituciones públicas generadas por personal interno a partir de su comportamiento sobre la infraestructura de TI,Pontificia Universidad Católica del Perú,Ingeniero Informático
"Rojas Polo, Jonatan Edward","Goyzueta Meneses, Cesar Eduardo",2022-07-22,"Propuesta de mejora de la cadena de suministros de la palta mediante el uso de herramientas de análisis de series de tiempo, analytics y optimización matemática",Pontificia Universidad Católica del Perú,Ingeniero Informático
"Huamán Monzón, Fernando Miguel","Girbau Roque, Christian Diego",2022-07-21,Diseño de un sistema de gestión de protección de datos personales basado en la norma ISO/IEC 27701:2019,Pontificia Universidad Católica del Perú,Ingeniero Informático
